Tweet,User - Location,User - Followers,Classificacao,Sentimento,Tweet_Ingles,Class_TextBlob
e a se glorificando com a rapidez na liberação da vacina chinesa no fb lamentável sabemos que o trabalho é a parte tributária mas exageraram no post parece que estavam orgulhosos #oswaldopresopolitico,"Sao Paulo, Brazil",338,Negativo,0,and glorifying her with the quick release of the Chinese vaccine in the pitiful fb we know that the work is the tax part but they exaggerated in the post it seems they were proud #oswaldopresopolitico,Positivo
taxa ela,,128,Positivo,1,rate her,Neutro
taxa ela,,129,Positivo,1,rate her,Neutro
ue kkkkkj oq é certo é certo,,128,Positivo,1,u kkkkkj what is right is right,Positivo
ue kkkkkj oq é certo é certo,,129,Positivo,1,u kkkkkj what is right is right,Positivo
vai que tem materialidade né,"São Paulo, Brasil",2902,Neutro,2,it has materiality right,Positivo
vai que tem materialidade né,"São Paulo, Brasil",2904,Neutro,2,it has materiality right,Positivo
a denúncia deveria partir da e do os fiscais da receita foram punidos os jornalistas presos revistas apreendidas sites bloqueados e o #stfvergonhanacional comendo lagosta e legislando desrespeitando meu voto não votei nesses corruptos cpi lava toga,,23,Negativo,0,the complaint should come from and the revenue inspectors were punished journalists arrested magazines seized blocked sites and #stfvergonhanacional eating lobster and legislating disrespecting my vote I did not vote for these corrupt cpi lava toga,Negativo
a denúncia deveria partir da e do os fiscais da receita foram punidos os jornalistas presos revistas apreendidas sites bloqueados e o #stfvergonhanacional comendo lagosta e legislando desrespeitando meu voto não votei nesses corruptos cpi lava toga,,21,Negativo,0,the complaint should come from and the revenue inspectors were punished journalists arrested magazines seized blocked sites and #stfvergonhanacional eating lobster and legislating disrespecting my vote I did not vote for these corrupt cpi lava toga,Negativo
será que o advogado do pcc mandou dar um corretivo no jornalista,fortaleza. city natal cedro-ce,11041,Neutro,2,did the pcc lawyer have the journalist corrected,Neutro
sonegando na cara de pau empresa bilionária mas não perde a chance da um confere,"Porto Velho, Brasil",50,Neutro,2,evading billionaire company but does not miss the chance of a check,Neutro
fantoche bobo da corte,,2,Neutro,2,jester puppet,Neutro
ah é,"Canoas, Brasil",205,Neutro,2,Oh yes,Neutro
ah é,"Canoas, Brasil",203,Neutro,2,Oh yes,Neutro
bom dia,"São Paulo, Brasil",217,Neutro,2,Good Morning,Positivo
parabens feliz aniversario,"São Paulo, Brasil",217,Positivo,1,congratulations happy Birthday,Positivo
parabens feliz aniversario,"Belo Horizonte, Brasil",582,Positivo,1,congratulations happy Birthday,Positivo
😎,"São Paulo, Brasil",217,Neutro,2,😎,Neutro
não é não,,1532,Neutro,2,"no, it is not",Neutro
ela vai fazer oq pedir pra eu declarar, bsb,877,Neutro,2,she will do what to ask me to declare,Neutro
ela vai fazer oq pedir pra eu declarar, bsb,885,Neutro,2,she will do what to ask me to declare,Neutro
não 🤡,"São Paulo, Brasil",217,Neutro,2,no 🤡,Neutro
explana não kkkkkkk,"Jundiaí, Brasil",294,Neutro,2,explana no kkkkkkk,Neutro
olha só é bem o que um perfil com ligação com a diria😏,Brasil,5581,Positivo,1,look it’s just what a profile with a connection to the diary😏,Neutro
pergunta pra qual é a forma que eles não conseguem cobrar kkkk,"Flores da Cunha, Brasil",614,Negativo,0,question what is the way they can&#39;t charge kkkk,Neutro
é meme ninguém nem sabe o que é isso nunca ouvi falar,"São Paulo, Brasil",66,Neutro,2,it&#39;s meme no one even knows what it is this i&#39;ve never heard of,Neutro
existe imposto de presente em bitcoin,"São Paulo, Brasil",66,Neutro,2,bitcoin gift tax exists,Neutro
engraçado ver esse bando de moleque discutindo isso 😀,Toronto - Ontario,228,Neutro,2,funny to see this bunch of kids discussing this 😀,Positivo
nunca desconfiei,,902,Neutro,2,I never suspected,Neutro
piratas sao legais,,1415,Neutro,2,pirates are cool,Positivo
só é pirataria prós outros pra ele não,,42,Neutro,2,it&#39;s just piracy for others not for him,Neutro
porra rendo é óbvio q esse cara é um fake só pq eu sou o senhor supremo do discord e sou ancap vc acha q alguém com o nick ancapsupremo seria eu vc é mt boomer msm,,37,Neutro,2,fucking rend it is obvious that this guy is a fake just because I am the supreme lord of the discord and I am ancap do you think anyone with the nickname ancapsupremo would be me you are mt boomer msm,Negativo
nem fudendo,,1532,Neutro,2,not even fucking,Negativo
calma bb está com medo da se estiver tudo direitinho sem declarar serviço de datilografia você fica de boa porém continuar vendendo notinha,"Brasília, Brasil",109,Neutro,2,calm bb is afraid of if everything is right without declaring typing service you look good but keep selling notes,Positivo
pois é e a se recusa a fornecer qualquer informação mínima mesmo que em dados genéricos,"Oxford, England",12014,Negativo,0,as it is and refuses to provide any minimal information even in generic data,Negativo
pois é e a se recusa a fornecer qualquer informação mínima mesmo que em dados genéricos,"Oxford, England",12142,Negativo,0,as it is and refuses to provide any minimal information even in generic data,Negativo
pois é e a se recusa a fornecer qualquer informação mínima mesmo que em dados genéricos,"Oxford, England",12185,Negativo,0,as it is and refuses to provide any minimal information even in generic data,Negativo
isso mas já era para terem liberado a atualização,,14900,Negativo,0,this but they were supposed to have released the update,Neutro
tudo “aparelhado” mas com parelhas de burros,,14900,Neutro,2,everything “rigged” but with donkey teams,Neutro
vou aguardar porque é rendimento recebido em 21,,14900,Neutro,2,I will wait because it is income received on 21,Neutro
tem como sindicatos fazerem um consórcio e comprarem eles mesmos doses da pros associados e famílias,Everywhere,623,Neutro,2,has as unions to form a consortium and buy themselves doses of associate members and families,Neutro
tem como sindicatos fazerem um consórcio e comprarem eles mesmos doses da pros associados e famílias,Everywhere,629,Neutro,2,has as unions to form a consortium and buy themselves doses of associate members and families,Neutro
é aniversario do adm,,1204,Neutro,2,it&#39;s adm birthday,Neutro
kkkkkk tem que ser rico lembrese ter bons advogados,,11633,Neutro,2,kkkkkk have to be rich remember to have good lawyers,Positivo
kkkkkk tem que ser rico lembrese ter bons advogados,,11632,Neutro,2,kkkkkk have to be rich remember to have good lawyers,Positivo
tem que ter o dinheiro antes né,,11633,Neutro,2,have to have the money before right,Positivo
e a dormindo zzzzzzzzzzzzzz,Brasil 𓇼𓆉 ⧖ ᱬ ⍟⃝    🍂🍁,751,Negativo,0,e a dormindo zzzzzzzzzzzzzz,Neutro
e o veio da havan +250 milhões para a se eu não pagar o simples fecham minhas portas brasil sil sil,Brasil 𓇼𓆉 ⧖ ᱬ ⍟⃝    🍂🍁,751,Negativo,0,and havan +250 million came to if i don&#39;t pay the simple close my doors brazil sil sil,Neutro
mal carater é o que vcs são o cara pergunta sobre a isenção do ir que ele prometeu na campanha ele responde o brasil ta quebrado não posso fazer nadase referindo a isenção do iraí a cana lhada tira a frase do contexto e ficam aí falando m no jo de vcs,,183,Negativo,0,badly character is what you guys are the guy asks about the exemption of the ir he promised in the campaign he answers brazil ta broken i can&#39;t do anything referring to the iraq exemption the cane lhada takes the sentence out of context and they stay there talking no jo of you,Negativo
utc■██ ██ ■data·national foiaportal gov ■if you need assistance with processing a request or if you have any questions regarding the status of a request you may contact the foia requester service center frsc at 2022618484,"New York, NY",12,Neutro,2,utc■██ ██ ■data·national foiaportal gov ■if you need assistance with processing a request or if you have any questions regarding the status of a request you may contact the foia requester service center frsc at 2022618484,Negativo
reforma tributária nada mas briguinhas políticas o ano todo aí sim,Reino Unido,24,Neutro,2,tax reform nothing but political fights all year long,Negativo
alowww crime fiscal,São Paulo ,42,Positivo,1,alowww crime fiscal,Neutro
seria muito mais interessante a pedir a lista de doadores com o cpf possivelmente aparecerão doações suspeitas,,288,Neutro,2,it would be much more interesting to ask for the list of donors with the cpf possibly suspicious donations will appear,Positivo
nossa apoia censura está com conta para slb será que a ou a encontraria algo errado nessas contas financiamentos será que há compliance pld,"São Paulo, Brasil",4003,Neutro,2,our support censorship is with account for slb will it or would it find something wrong in these accounts financing will there be compliance pld,Negativo
nossa apoia censura está com conta para slb será que a ou a encontraria algo errado nessas contas financiamentos será que há compliance pld,"São Paulo, Brasil",4020,Neutro,2,our support censorship is with account for slb will it or would it find something wrong in these accounts financing will there be compliance pld,Negativo
eu acho que a deveria investigar tenho forte suspeita de houve sonegação fiscal na compra desses equipamentos ⓘ 𝗧𝗵𝗶𝘀 𝗰𝗹𝗮𝗶𝗺 𝗶𝘀 𝗱𝗶𝘀𝗽𝘂𝘁𝗲𝗱,Ribeirão Preto,61,Neutro,2,i think i should investigate it i have a strong suspicion of tax evasion in the purchase of this equipment ⓘ 𝗧𝗵𝗶𝘀 𝗰𝗹𝗮𝗶𝗺 𝗶𝘀 𝗱𝗶𝘀𝗽𝘂𝘁𝗲𝗱,Positivo
@,Macapá,59,Neutro,2,@,Neutro
gmt+01 gmt03 ■·srº s e srª s em trabalho no em favor da saudável liberdade de expressão os contribuintes e pedintes na rep federativa do brasil aguardam providências para erradicar o discurso político de ódio as chantagens e as ameaças da imprensa contra o,"New York, NY",12,Neutro,2,"gmt + 01 gmt03 ■ · if you are at work in favor of healthy freedom of expression, taxpayers and beggars in the federative republic of brazil are waiting for measures to eradicate the hate speech, blackmail and press threats against the",Negativo
a está aparelhada de militares vagabundos e corruptos doidos para implementar uma nova ditadura militar roubar estuprar e matar militares são antivacinas terraplanistas lixos ignorastes,Brasil,11,Negativo,0,"a is equipped with vagabond and corrupt military crazy to implement a new military dictatorship to steal, rape and kill military personnel are anti-vaccines terraplanistas igninhas",Negativo
a única coisa que importa é que a a e a #abin em atuação altiva e independente não viram nenhum ilícito até agora,Papuda,75,Positivo,1,the only thing that matters is that aaea #abin in haughty and independent performance has not seen any wrongdoing so far,Positivo
a única coisa que importa é que a a e a #abin em atuação altiva e independente não viram nenhum ilícito até agora,Papuda,74,Positivo,1,the only thing that matters is that aaea #abin in haughty and independent performance has not seen any wrongdoing so far,Positivo
vergonha,,322,Negativo,0,shame,Neutro
vergonha,,321,Negativo,0,shame,Neutro
eles não aceitam investigação da e à contra eles ordenam que parem mandam prender aqueles que se expressam contra eles e fazem conchavo pra não serem arrancados de lá pelo senado à sua maioria composto por corruptos desse sistema podre,"Rio de Janeiro, Brasil",884,Negativo,0,they do not accept investigation by and against them they order to stop they order to arrest those that express themselves against them and they conchavo not to be pulled out of there by the senate the majority composed of corrupt of that rotten system,Negativo
well done,Cameroon,97,Neutro,2,well done,Neutro
gmt■ 2■data ■·,"New York, NY",12,Neutro,2,gmt■ 2■data ■·,Neutro
gmt+05 00 ■data national foiaportal gov ■the basic function of the freedom of information act is to ensure informed citizens vital to the functioning of a democratic society,"New York, NY",12,Neutro,2,gmt+05 00 ■data national foiaportal gov ■the basic function of the freedom of information act is to ensure informed citizens vital to the functioning of a democratic society,Positivo
e seu pai são sonegadores de impostos e onde a porra da respondo se reunindo com o fdp do,,112,Negativo,0,and your dad are tax evaders and where the fucking answer i meet with the fdp from,Negativo
e seu pai são sonegadores de impostos e onde a porra da respondo se reunindo com o fdp do,,113,Negativo,0,and your dad are tax evaders and where the fucking answer i meet with the fdp from,Negativo
tem agência do banrisul que está fechada e nem satisfação para os clientes incluindo o autoatendimento,,355,Negativo,0,"there is a banrisul branch that is closed and there is no satisfaction for customers, including self-service",Negativo
olá desculpa por algum desconforto qual seria a agência em questão me informa em dm resolveremos isso por lá 🤝,Rio Grande do Sul,14741,Neutro,2,hello sorry for any discomfort which agency would be informs me in dm we will resolve it over there 🤝,Negativo
como ñ tinha o de 21 fizemos a apuração de dez no de 20 mesmo só falta a receita implicar,"Parem o mundo, quero descer",250,Negativo,0,"as ñ had the 21, we counted ten in the 20, we just need the revenue to imply",Neutro
ces são burro ou oq,@vitor.doprat,196,Negativo,0,dogs are dumb or what,Negativo
ces são burro ou oq,@vitor.doprat,204,Negativo,0,dogs are dumb or what,Negativo
o cara n conhece direito natural e fala umas merda dessa e outra qual o problema da prostituição o corpo é dela ela faz o q ela bem entender,,153,Neutro,2,the guy n knows natural law and says shit about this and another one about the problem of prostitution the body is hers she does what she wants,Positivo
tá aí a gente discutindo com criminoso que possívelmente relativiza escravidão,"Santo Amaro, São Paulo",299,Neutro,2,there we are arguing with criminal who possibly relativizes slavery,Negativo
é bom dar uma checada na declaração de rendimentos dá uma boa mordida do leão esses alugueis de temporada contribuindo para o bem comum todos os anos podem fazer uma verificação dos ultimos 5 anos certo,Brasil,248,Positivo,1,it&#39;s good to check the income statement give a good bite of the lion these vacation rentals contributing to the common good every year can check the last 5 years right,Positivo
é bom dar uma checada na declaração de rendimentos dá uma boa mordida do leão esses alugueis de temporada contribuindo para o bem comum todos os anos podem fazer uma verificação dos ultimos 5 anos certo,Brasil,254,Positivo,1,it&#39;s good to check the income statement give a good bite of the lion these vacation rentals contributing to the common good every year can check the last 5 years right,Positivo
qualquer contrato de temporada existe a clausula de uso do imovel e nenhum proprietario é bobo de deixar exceder a capacidade tadinha ela não sabia e aluga todo ano,Brasil,248,Neutro,2,any season contract there is a clause for the use of the property and no owner is silly to let it exceed the total capacity she didn&#39;t know and she rents every year,Negativo
qualquer contrato de temporada existe a clausula de uso do imovel e nenhum proprietario é bobo de deixar exceder a capacidade tadinha ela não sabia e aluga todo ano,Brasil,254,Neutro,2,any season contract there is a clause for the use of the property and no owner is silly to let it exceed the total capacity she didn&#39;t know and she rents every year,Negativo
tadinha além de não saber ela não tem dinheiro para contratar uma assessoria estamos em prantos,Brasil,248,Neutro,2,tadinha besides not knowing she doesn&#39;t have the money to hire an advisor we are in tears,Neutro
tadinha além de não saber ela não tem dinheiro para contratar uma assessoria estamos em prantos,Brasil,254,Neutro,2,tadinha besides not knowing she doesn&#39;t have the money to hire an advisor we are in tears,Neutro
e ela jura que nao sabe que aluguel de temporada para casas de veraneio em final de ano na época de festas é para festas nem pensou em colocar uma clausula no contrato de locacao por temporada seria bom checar as declaracoes de anos anteriores aluga sempre,Brasil,248,Positivo,1,"and she swears that she doesn’t know that vacation rentals for holiday homes at the end of the year during the holiday season is for parties, nor did she think of putting a clause in the vacation rental contract it would be good to check the declarations of previous years, she always rents",Positivo
e ela jura que nao sabe que aluguel de temporada para casas de veraneio em final de ano na época de festas é para festas nem pensou em colocar uma clausula no contrato de locacao por temporada seria bom checar as declaracoes de anos anteriores aluga sempre,Brasil,254,Positivo,1,"and she swears that she doesn’t know that vacation rentals for holiday homes at the end of the year during the holiday season is for parties, nor did she think of putting a clause in the vacation rental contract it would be good to check the declarations of previous years, she always rents",Positivo
☝️✌️ digo a verdade pro srº srº🤡larry fine se o srº pegou a fila da naquela recepção no clube do se não virou ainda vai virar se sua madrasta te ama de verdade vai por coleira e te adotar como se o srº fosse a+🐩 go wonder💝michelle,"New York, NY",12,Neutro,2,☝️✌️ tell the truth to mr. Mr.larry fine if mr. Took the queue at that reception at the s club and will not turn yet will turn if his stepmother really loves you goes by the collar and adopts you as if you were the + 🐩 go wonder💝michelle,Positivo
✌️ às vezes cogito que o srº srºlarry fine está a usar seu excreto do lado errado igual seu mano curly howard essa preocúpação com quem trabalha de 4 oh menina esse carinho com🐕 deixa dúvida se o srº srº larry fine igualeleslá🇺🇸 morde fronha debaixo do arco de íris🌈,"New York, NY",12,Neutro,2,✌️ sometimes I think that Mr. Mr. Larry Fine is using his excrement on the wrong side just like his curly brother Howard that concern with those who work with 4 oh girl that affection with 🐕 leaves doubt if Mr. Mr. Larry Fine is equal bites pillowcase under the rainbow🌈,Positivo
não seja imbecil srº larry fine cachorro que👌💔senta no colo de bandido é secreta da descortinado por alguma piranha da imprensa que dá o cú em troca de informação a reportagem ameaça veladamente federais que expõem as vísceras da tvglobo na,"New York, NY",12,Negativo,0,don’t be an imbecile Mr. larry fine dog that sits on the lap of a thug is secret from some piranha of the press who gives the ass in exchange for information the report threatens veiled federally that expose the viscera of tvglobo in,Negativo
tudo é possível o problema é que o pessoal do judiciário não podem ser investigados pela e etc os advogados também a$$im fica fácil confiar na palavra de qualquer político corrupto,fortaleza. city natal cedro-ce,11039,Neutro,2,everything is possible the problem is that the judicial staff cannot be investigated by and etc. lawyers also at $$ im it is easy to trust the word of any corrupt politician,Negativo
tudo é possível o problema é que o pessoal do judiciário não podem ser investigados pela e etc os advogados também a$$im fica fácil confiar na palavra de qualquer político corrupto,fortaleza. city natal cedro-ce,11027,Neutro,2,everything is possible the problem is that the judicial staff cannot be investigated by and etc. lawyers also at $$ im it is easy to trust the word of any corrupt politician,Negativo
#parabenscasacivil,,38,Positivo,1,#parabenscasacivil,Neutro
é preciso que o banco central não leve até 6 meses para atualizar o cadastro dos devedores em conluio com a febraban contra o cidadão e o presidente bolsonaro,Brazil,22774,Negativo,0,the central bank must not take up to 6 months to update the debtors&#39; record in collusion with the febraban against the citizen and the president bolsonaro,Neutro
más e o cpf que está com o número errado,Arujá - São Paulo - Brasil,3391,Neutro,2,bad and the cpf that has the wrong number,Negativo
más e o cpf que está com o número errado,Arujá - São Paulo - Brasil,3381,Neutro,2,bad and the cpf that has the wrong number,Negativo
sério marcela se vc souber me ajuda pff eu te imploro,,1964,Neutro,2,seriously marcela if u know help me pff i beg you,Negativo
pqp portiolli fui olhar minha conta e descobrir que estão me cobrando isso a mais de 6 meses nunca pediram minha autorização neles tem que indenizar todos os consumidores tem treta aí,"Sao Paulo, Brazil",28,Neutro,2,"pqp portiolli I went to look at my account and find out that they have been charging me for more than 6 months, they never asked for my authorization.",Positivo
alô ❓❓❓❓,"Brasília, Brasil",26,Negativo,0,hello ❓❓❓❓,Neutro
beleza vo ir lá imprimir dinheiro,@vitor.doprat,196,Neutro,2,beauty go go there print money,Neutro
beleza vo ir lá imprimir dinheiro,@vitor.doprat,204,Neutro,2,beauty go go there print money,Neutro
do cara que queria tirar todos os negativados de inadimplência e fazer com que os bancos públicos comprem essa dívida,@vitor.doprat,196,Neutro,2,from the guy who wanted to remove all bad debts and make public banks buy this debt,Negativo
do cara que queria tirar todos os negativados de inadimplência e fazer com que os bancos públicos comprem essa dívida,@vitor.doprat,204,Neutro,2,from the guy who wanted to remove all bad debts and make public banks buy this debt,Negativo
e em algum momento eu falei q n era crime,,153,Neutro,2,and at some point I said it was a crime,Neutro
qual o crime parceiro,,153,Neutro,2,which crime partner,Neutro
escravidão pedofilia tráfico de órgãos prostituição tudo legalizado no ancapistão,"São Paulo, Brasil",579,Neutro,2,slavery pedophilia organ trafficking prostitution all legalized in ancapistan,Neutro
escravidão pedofilia tráfico de órgãos prostituição tudo legalizado no ancapistão,"São Paulo, Brasil",612,Neutro,2,slavery pedophilia organ trafficking prostitution all legalized in ancapistan,Neutro
a discussão é sobre o ciro gomes,,153,Neutro,2,the discussion is about ciro gomes,Neutro
irmão existe uma pequena diferença entre dizer q imposto é legítima defesa e incentivar ou praticar o ato na minha capa eu n faço nenhum dos dois,,153,Neutro,2,brother there is a small difference between saying q tax is self-defense and encouraging or practicing the act on my cover i n do neither,Negativo
qm ta defendendo um condenado por injúria racial é vc,,153,Neutro,2,who&#39;s defending a convict of racial injury is you,Neutro
se usar o pix não da pra fugir do ir só avisando o 🦁 vai pegar todo mundo kkkk,"Guarujá, Brasil",0,Positivo,1,if you use the pix you can&#39;t get away from just going to warn 🦁 it will get everyone kkkk,Neutro
#exercitoeuconfio #pazuelloeuconfio #marinhaeuconfio #fabeuconfio #pfeuconfio #prfeuconfio,Brazil,17,Positivo,1,#exercitoeuconfio #pazuelloeuconfio #marinhaeuconfio #fabeuconfio #pfeuconfio #prfeuconfio,Neutro
👏🏻👏🏻👏🏻❤️,"Paraná, Brasil",2024,Positivo,1,👏🏻👏🏻👏🏻❤️,Neutro
o que os ministros do fizeram com a constituição federal acabou com a democracia não aceitam investigações da e prendem inocentes soltam bandidos destroem a polícia protegem os criminosos e são protegidos pelo,"Rio de Janeiro, Brasil",884,Neutro,2,what the ministers did with the federal constitution ended democracy do not accept investigations by and arrest innocent people release thugs destroy the police protect criminals and are protected by,Positivo
que não fique só na desculpinha igual o e tem marcar firme nesses parlamentares digo num geral,"Washington, DC",358,Neutro,2,let it not be just in the same excuse as there is a strong mark in these parliamentarians I say in general,Positivo
parem de tirar taxa do c* a gente sabe que os agentes alfandegários inventam valores valeu deixa a gente ser feliz sem ser taxado vcs tão com a vida ganha concursados, .𝓳𝓼𝓸𝓸. (she/he/they),8192,Negativo,0,stop taking c * tax we know that customs agents invent values thanks let us be happy without being taxed you guys are so excited about life,Positivo
parem de tirar taxa do c* a gente sabe que os agentes alfandegários inventam valores 👍 deixa a gente ser feliz sem ser taxado vcs tão com a vida ganha concursados, .𝓳𝓼𝓸𝓸. (she/he/they),8192,Negativo,0,stop taking c * tax we know that customs agents invent values 👍 let us be happy without being taxed you guys are so tender with life,Positivo
obrigada pela resposta estou acompanhando online meu pedido foi na esperança de conseguir acelerar um pouco o processo já q minha mãe está doente e um presente de natal a alegraria bastante,,62,Neutro,2,thanks for the reply i&#39;m following online my request was in the hope of being able to speed up the process a little since my mother is sick and a christmas present would cheer her up,Negativo
olha que coisa a demora foi por conta da fiscalização de 1 mês e meio da a aduana de curitiba precisou de mais de um mês para fiscalizar um livro e por conta disso a embalagem que estava molhada foi mofando meu livro 👏🏻👏🏻👏🏻👏🏻 aos envolvidos,Rio de Janeiro,134,Negativo,0,look what the delay was due to the inspection of 1 and a half months from the curitiba customs office needed more than a month to inspect a book and because of that the packaging that was wet was molding my book 👏🏻👏🏻👏🏻👏 🏻 to those involved,Positivo
