,Tweet,Cidade,User - Followers,Classificacao,Sentimento,LSTM,UF
1677,pf junto deflagrou 79a fase #lavajato denominada vernissage nesta fase investigacoes concentradas esquema compra obras artes lavagem capitais oriundas pagamentos propinas,"armacao dos buzios,brasil",43,Positivo,1,1,Não Informado
1301,parabens,armenia,3258,Positivo,1,1,RO
2240,esperando 2hrs receita federal trocar 2 letras proprio erro deles br foda,"arroio grande,brasil",41,Negativo,0,0,Não Informado
146,mas cpf numero errado,"aruja,sao paulo,brasil",3381,Neutro,2,2,SP
145,mas cpf numero errado,"aruja,sao paulo,brasil",3391,Neutro,2,2,SP
2112,abriu hoje 22 consulta lote residual restituicao #impostoderenda credito bancario 200 mil contribuintes realizado 30 dezembro informacoes,"asa sul,brasilia.",108,Positivo,1,1,Não Informado
2609,odio ter lidar receita federal estados unidos so quero dinheiro,"atlanta,ga",1616,Negativo,0,0,Não Informado
2180,brinca servico fml paguem impostos,aux  jpa,100,Positivo,1,1,RO
1650,#atendimento | informa pendencias relativas cadastro pessoa fisica cpf podem ser regularizadas meio canais virtuais atendimento vem saber mais,"av. presidente vargas,482 sl.",10,Positivo,1,1,Não Informado
1645,#atendimento | informa pendencias relativas cadastro pessoa fisica cpf podem ser regularizadas meio canais virtuais atendimento vem saber mais,"av. presidente vargas,482 sl.",8,Positivo,1,1,Não Informado
1114,paguei veio comprovante apareceu periodo real permaneci la dentro veja ai tao tudo certo declaracoes estapar allpark empreendimentos,away ,250,Positivo,1,1,RO
1113,paguei veio comprovante apareceu periodo real permaneci la dentro veja ai tao tudo certo declaracoes estapar allpark empreendimentos,away ,251,Positivo,1,1,RO
1297,parabens,"b.v. do caracol,trairao,pa",1975,Positivo,1,1,PA
2757,kkkkkkkkkkkkk tadinho garoto,"ba,pb",72,Negativo,0,2,PB
1261,parabens,"bahia,brasil",2106,Positivo,1,1,BA
1379,correcao pendencias relativas #cpf gratuita internet ou caso contribuinte opte utilizar rede conveniada cartorios custo 7,"bahia,brasil",232,Positivo,1,1,BA
563,homens q ocupam cargos q investiga politicos corruptos sao indicados eles justica funciona q querem andar corretamente,"bahia,brasil",1648,Neutro,2,2,BA
2146,sera celular chega ainda mes alo libera alfandega ae,"bahia,brasil",53,Negativo,0,0,BA
1370,correcao pendencias relativas #cpf gratuita internet ou caso contribuinte opte utilizar rede conveniada cartorios custo 7,"bahia,brasil",229,Positivo,1,1,BA
2119,pendencias cpf podem ser regularizadas canais virtuais correcao gratuita internet custo 7 reais caso contribuinte opte utilizar rede conveniada cartorios,"bahia,brasil",220,Positivo,1,1,BA
562,homens q ocupam cargos q investiga politicos corruptos sao indicados eles justica funciona q querem andar corretamente,"bahia,brasil",1652,Neutro,2,2,BA
2101,contribuinte caiu malha fina concordar valores multas lancados pode apresentar defesa meio ecac partir hoje 7 proprio sistema informacoes preencher defesa informacoes abr,"bahia,brasil",3432,Positivo,1,1,BA
1142,queria agendamento semana algum auditor plantao fiscal vaga janeiro sequer,"ballonlea,galar",1004,Negativo,0,0,Não Informado
1356,serie o presidente acabou lavajato,"balneario camboriu,brasil",1484,Neutro,2,2,SC
1589,#3 juntos podem dar golpe fatal milicias organizacoes #pcc tempos deixou ser gangue cadeia atuar organizacao crime transnacional significa trafico virou meio fim $$ poder,"bandar kuala lumpur,wilayah persekutuan kuala lumpur",1453,Positivo,1,1,Não Informado
1551,#3 juntos podem dar golpe fatal milicias organizacoes #pcc tempos deixou ser gangue cadeia atuar organizacao crime transnacional significa trafico virou meio fim $$ poder,"bandar kuala lumpur,wilayah persekutuan kuala lumpur",1455,Positivo,1,1,Não Informado
1934,mudancas atingem apenas empresas obrigadas declaracao debitos creditos tributarios federais previdenciarios outras entidades fundos dctfweb saiba mais #receitafederal #servicosgerais #gfip,barcelona,147,Positivo,1,2,RO
1939,mudancas atingem apenas empresas obrigadas declaracao debitos creditos tributarios federais previdenciarios outras entidades fundos dctfweb saiba mais #receitafederal #servicosgerais #gfip,barcelona,148,Neutro,2,2,RO
2080,hoje todos servico governo corte maior minimo conivente tudo ainda falam instituicoes brasil fortes pais piada pronta,"barretos,brasil",169,Negativo,0,0,Não Informado
2085,hoje todos servico governo corte maior minimo conivente tudo ainda falam instituicoes brasil fortes pais piada pronta,"barretos,brasil",170,Negativo,0,0,Não Informado
2649,apesar ter sido legitimamente eleito hoje pratica politica proautoritarismo desprezo processo eleitoral suspeitas intervencao cooptacao instituicoes abin policia federal receita federal metodo nessa atitude #bolsonaroarmagolpe,"barris,salvador ",1808,Neutro,2,2,Não Informado
2227,receita federal leva 5 minutos taxar rever cagada 30 dias uteis estado fala ne,"bauru,brasil",68,Negativo,0,0,SP
2472,acho faz todo sentido mano idiossincrasia servico publico brasileiro possivel existir pqp pior perdem receitas idiotices,belem,24,Negativo,0,2,RO
1048,alo usuario twitter acabou declarar paga impostos sendo assim sonegando #denuncia #imposto #receitafederal,belem city,1,Neutro,2,2,RO
2717,problemas emissao dezembro 2020 previsao normalizar,belem do pa brasil,58,Negativo,0,0,RO
2651,apesar ter sido legitimamente eleito hoje pratica politica proautoritarismo desprezo processo eleitoral suspeitas intervencao cooptacao instituicoes abin policia federal receita federal metodo nessa atitude #bolsonaroarmagolpe,"belem,brasil",60,Neutro,2,2,PA
2404,tribunais receita federal brasil interpretaram pagar creditos cartao valetransporte pagar dinheiro muda natureza beneficio +,"belem,brasil",24,Neutro,2,2,Não Informado
2395,faca operacoes cambio agente autorizado envios exija sempre comprovante faca cambio seguro evite problemas notas falsas receita federal #cambio #cambioseguro #cambiobelem,"belem,para,brasil",126,Neutro,2,2,PA
515,quero ver alguem vai ficar preso,belo horizonte,1012,Positivo,1,2,RO
3050,alo adianta banqueiros inter bmg mrv lavar 200 milhoes plena pandemia pergunta quer calar ira perguntar ceo ira atras banqueiros atras pedro bh,belo horizonte,154,Neutro,2,0,RO
2488,decisao tarifas importacao cabe governo federal mas tratando governo bolsonaro reduzir receita devese apontar onde compensado feito caras incompetentes,belo horizonte,760,Negativo,0,0,RO
256,investigar fundo vao chegar gente grauda,belo horizonte,132,Negativo,0,0,RO
2463,videos perturbadores mim doguinho come biscoito tira gaveta poe mesa fingir comeu pro dono mim humano fugindo receita federal,belo horizonte,171,Neutro,2,2,RO
1932,mudancas atingem apenas empresas obrigadas declaracao debitos creditos tributarios federais previdenciarios outras entidades fundos dctfweb saiba mais #receitafederal #servicosgerais #gfip,belo horizonte,65,Positivo,1,2,RO
1937,mudancas atingem apenas empresas obrigadas declaracao debitos creditos tributarios federais previdenciarios outras entidades fundos dctfweb saiba mais #receitafederal #servicosgerais #gfip,belo horizonte,65,Neutro,2,2,RO
2179,gostaria saber cade porra item comprei meses atras seguraram motivo nenhum ainda passam porra prazo 30 dias fazer maldita analise passaram 44 dias porra,belo horizonte,126,Negativo,0,0,RO
2440,pais viciado subsidios sociedade brasileira vai conviver nivel tao elevado subsidios setor produtivo estimados receita federal 307 9 bilhoes neste ano pouco abaixo 4% produto interno bruto pib,belo horizonte ,600,Neutro,2,2,RO
2269,primeiro role contexto caminhadas matinais/supermercado/farmacia vou dar moradora bh mesmo ir receita federal,belo horizonte | teresina,5020,Negativo,0,0,RO
1537,#3 juntos podem dar golpe fatal milicias organizacoes #pcc tempos deixou ser gangue cadeia atuar organizacao crime transnacional significa trafico virou meio fim $$ poder,"belo horizonte,brasil",1487,Positivo,1,1,MG
727,sal sistema calculo parcela inss atraso ar procede devo efetuar pagamento,"belo horizonte,brasil",889,Negativo,0,0,MG
2871,kkkkkkkkk,"belo horizonte,brasil",945,Neutro,2,0,MG
1575,#3 juntos podem dar golpe fatal milicias organizacoes #pcc tempos deixou ser gangue cadeia atuar organizacao crime transnacional significa trafico virou meio fim $$ poder,"belo horizonte,brasil",1486,Positivo,1,1,MG
776,dificuldade site receita sal para calculo inss atraso fazendo forca regularizar inss,"belo horizonte,brasil",891,Negativo,0,0,MG
2006,flavio bolsonaro advogadas tres reunioes receita pedir dados aparelhada,"belo horizonte,brasil",7484,Negativo,0,0,MG
2120,pendencias cpf podem ser regularizadas canais virtuais correcao gratuita internet custo 7 reais caso contribuinte opte utilizar rede conveniada cartorios,"belo horizonte,brasil",426,Positivo,1,1,MG
49,parabens feliz aniversario,"belo horizonte,brasil",582,Positivo,1,1,MG
2137,olhem ali atras homem ultima live presidente camisa brasil mostrou cicatriz coracao mandetta decapitado ue mandetta pode tirem mulher claque favor foco brasil faturou 1 milhao blogueiro,"belo horizonte,brasil",66,Neutro,2,2,MG
2593,gente ceu quer dizer agora toda administracao publica brasileira trabalha funcao filhos presidente bolsonaro abin serpro receita federal mente doentia esquerda jornalismo desonesto globolixo,"belo horizonte,brasil",160,Negativo,0,0,MG
1652,#atendimento | informa pendencias relativas cadastro pessoa fisica cpf podem ser regularizadas meio canais virtuais atendimento vem saber mais,"belo horizonte,brasil",229,Positivo,1,1,MG
2501,tragico receita governo federal afetada drasticamente milhoes ganhavamos ganhamos desesperados #forabolsonaro kkkkk,"belo horizonte,brasil",12,Negativo,0,0,MG
777,dificuldade site receita sal para calculo inss atraso fazendo forca regularizar inss,"belo horizonte,brasil",889,Negativo,0,0,MG
2031,flavio bolsonaro advogadas tres reunioes receita pedir dados aparelhada,"belo horizonte,brasil",7469,Negativo,0,0,MG
2923,vai ter prefeito preso,"belo horizonte,brasil",25,Neutro,2,2,MG
2213,bolsonaro aparelhou mpf policia federal nomeou ministro vassalo stf utilizou abin fazer relatorio favor filho consequentemente interviu receita federal pt nunca chegou perto disso,"belo horizonte,brasil",123,Negativo,0,0,MG
2099,contribuinte caiu malha fina concordar valores multas lancados pode apresentar defesa meio ecac partir hoje 7 proprio sistema informacoes preencher defesa informacoes abr,"belo horizonte,brasil",426,Positivo,1,1,MG
725,sal sistema calculo parcela inss atraso ar procede devo efetuar pagamento,"belo horizonte,brasil",891,Negativo,0,0,MG
2056,flavio bolsonaro advogadas tres reunioes receita pedir dados aparelhada,"belo horizonte,brasil",7451,Negativo,0,0,MG
2376,receita federal vc declarar renda mim fi,"belo horizonte,brasil",3928,Neutro,2,2,MG
2566,nesse pais pobre deve receita federal,"belo horizonte,brazil",29,Negativo,0,2,MG
2210,receita federal atenciosa mulher vejo hora liberarem travel ajuda ai brasil,"belo horizonte,mg",1229,Negativo,0,0,MG
855,comemorar arrecadacao foda,"belo horizonte,mg",1007,Negativo,0,0,MG
2348,receita federal deve estar bafo cangote kkkkk,"belo horizonte,mg,brazil",62,Neutro,2,2,MG
764,preciso super ajuda,"belo horizonte,minas gerais",292,Neutro,2,2,MG
226,so pegar investimentos global,"belo horizonte,minas gerais",24450,Neutro,2,2,MG
2206,nossa tava lembrando fiz tudo nao precisa pq tudo ai validade fiz rg q cpf caixa eh ajustar receita federal cpf consequencia titulo cia carteira trabalho hj eh digital vai atualizar dps receita,"belo horizonte,minas gerais",46,Negativo,0,0,MG
2790,ajuda ai,"belo horizonte,minas gerais",2118,Negativo,0,0,MG
187,investimentos global,bh,391,Neutro,2,2,RO
947,sei la vende,bh,391,Neutro,2,2,RO
186,chuva capote gastam 300 mi dolares formula 1,bh,391,Neutro,2,2,RO
188,red bull faturamento anual mundial 21 bilhoes euros mrv faturamento anual 1 bilhao euros,bh,391,Neutro,2,2,RO
2288,palavra receita remete coisas tao boas receita vovo receita pao queijo delicia passa receita etc parar nome instituicao tao diabolica quanto receita federal,bh,433,Negativo,0,0,RO
285,calma la amigao kakakakkakakakakak,blackartel,141,Neutro,2,2,RO
2547,esqueci fazer declaracao imposto renda ano desculpa receita federal =/ fode pff kkk,"blumenau,brasil",115,Negativo,0,0,SC
2531,porra email empresarial filho puta cadastrou receita federal brasileiropressor piada,"blumenau,sc",711,Negativo,0,0,SC
1857,receita federal policia federal ministerio publico federal deflagraram hoje 12/01 79a fase operacao lava jato denominada operacao vernissage saiba mais #receitafederal #fiscalizacao #lavajato,"boa viagem,recife",194,Positivo,1,1,Não Informado
2560,mano vou chegar receita federal voadora q porra,"boa vista,brasil",494,Negativo,0,0,Não Informado
1609,#3 juntos podem dar golpe fatal milicias organizacoes #pcc tempos deixou ser gangue cadeia atuar organizacao crime transnacional significa trafico virou meio fim $$ poder,"boa vista,brasil",448,Positivo,1,1,Não Informado
2598,site receita federal merda,bokinha city,403,Negativo,0,0,RO
930,compra bitcoin ai burrao leao pegou,"bom jesus de goias,brasil",251,Neutro,2,2,Não Informado
1233,quero nada natal mentalizar conseguir ser auditor fiscal dia ah vou,"botafogo,rio de janeiro",336,Positivo,1,1,RJ
1234,quero nada natal mentalizar conseguir ser auditor fiscal dia ah vou,"botafogo,rio de janeiro",337,Positivo,1,1,RJ
2181,sim repreensao trafico internacional droga pesada alta quantidade,"bra,usa,eur",100,Positivo,1,2,Não Informado
816,vcs vergonha anunciar q impediram alguem dar uns 10 peguinhas miseria,"bra,usa,eur",99,Negativo,0,0,Não Informado
130,jura sabe aluguel temporada casas veraneio final ano epoca festas festas pensou colocar clausula contrato locacao temporada bom checar declaracoes anos anteriores aluga sempre,brasil,248,Positivo,1,1,RO
1744,#arrecadacao arrecadacao total receitas federais atingiu novembro 2020 valor 140 101 milhoes periodo acumulado janeiro novembro 2020 arrecadacao alcancou valor 1 320 325 milhoes saiba mais #rfb,brasil,277,Positivo,1,1,RO
446,pagamento reducao carga horaria programado 31/12 ainda entrou conta motivo,brasil,22,Negativo,0,0,RO
2803,zona federal,brasil,531,Negativo,0,0,RO
1331,pendencias cpf podem ser regularizadas canais virtuais correcao gratuita internet custo 7 reais caso contribuinte opte utilizar rede conveniada cartorios,brasil,331309,Positivo,1,1,RO
1729,#areceitafederalnaopara receita federal apreende 670 kg cocaina carga goiabada porto santos somente 2020 alfandega santos interceptou 20 5 toneladas cocaina cargas exportacao destinadas europa saiba mais,brasil,294,Positivo,1,1,RO
864,the post says give it up mr president your sake and the nations post diz desista sr presidente bem bem nacao,brasil,319,Neutro,2,2,RO
322,quebrei divida impagavel governo empresta regularizar abrir loja novo falar facil quero ver ajudar fato,brasil,340,Neutro,2,2,RO
1726,#areceitafederalnaopara receita federal apreende 670 kg cocaina carga goiabada porto santos somente 2020 alfandega santos interceptou 20 5 toneladas cocaina cargas exportacao destinadas europa saiba mais,brasil,642,Positivo,1,1,RO
2434,olha q loucura policia federal receita federal mpf usa conversar trafico ilegal madeira conta crescentes apreensoes madeira brasileira ta faltando alguem ai ah condenado proibiu ibama viajar,brasil,3258,Neutro,2,2,RO
2075,flavio bolsonaro advogadas tres reunioes receita pedir dados aparelhada,brasil,600,Negativo,0,0,RO
1813,#restituicao receita abre nesta tercafeira 22 10h consulta lote residual restituicao irpf mes dez/2020 credito bancario 202 388 contribuintes realizado 30/12 totalizando 354 milhoes consulte #irpf,brasil,21061,Positivo,1,1,RO
485,sugiro vc leia meios comunicacoes serios fica lendo globolixo vai continuar desinformado,brasil,57,Neutro,2,0,RO
1237,recebeu notificacao lancamento imposto renda edefesa preciso sair casa saiba usalo #transformacaodigital,brasil,21042,Positivo,1,1,RO
2475,espero q sido pequenas quantias $ pq caso contrario vc pode cair malha receita federal pix n garantia sigilo podem vasculhar qdo quiserem movimentacoes governo acredita q arrecadacao impostos movimentacoes financeiras duplicara,brasil,2532,Negativo,0,0,RO
2033,flavio bolsonaro advogadas tres reunioes receita pedir dados aparelhada,brasil,585,Negativo,0,0,RO
2305,tava bom demais comprar shein ser vdd segunda compra receita federal enfiou taxa cu,brasil,282,Negativo,0,0,RO
2600,peguei dinheiro resolvi colocar negocio permite multiplicalo perdelo totalmente receita federal estado haver decisao consequencias mesma vai foder la estado defende,brasil,177,Negativo,0,2,RO
2737,portal simples nacional emissao vence dia 20 praticamente ar dois dias proposito,brasil,531,Negativo,0,0,RO
2882,kkkkkkkkkkkkkkkkkkkkkkkkkkk,brasil,409,Neutro,2,2,RO
1432,forcas armadas apreendem 2 milhoes macos cigarros sergipe material apreendido militares contabilizado periciado alem ter sido classificado contrabando confira materia completa defesa,brasil,448,Positivo,1,1,RO
129,tadinha alem saber dinheiro contratar assessoria prantos,brasil,254,Neutro,2,2,RO
857,devia ter vergonha dizer tirando dinheiro povo enquanto tentam recuperar merdas vcs fizeram,brasil,2956,Negativo,0,0,RO
1800,#recorde manha 22/12 equipes alfandega receita santos apreenderam 2 932 kg cocaina droga cuidadosamente oculta carregamento bobinas aluminio destinadas porto roterda holanda saiba mais #rfb #aduana,brasil,2444,Positivo,1,1,RO
1286,parabens,brasil,1684,Positivo,1,1,RO
310,planalto decretou sigilo 100 anos cartao vacinacao presidente bolsonaro qualquer informacao vacinas recebeu,brasil,329,Neutro,2,2,RO
1773,#leilao receita realiza 30/12 leilao equipamentos eolicos leilao apenas pessoas juridicas contempla equipamentos eolicos hidraulicos abandonados empresa setor apresentacao propostas vai dia 29/12 mais,brasil,334,Positivo,1,1,RO
1542,#3 juntos podem dar golpe fatal milicias organizacoes #pcc tempos deixou ser gangue cadeia atuar organizacao crime transnacional significa trafico virou meio fim $$ poder,brasil,1093,Positivo,1,1,RO
1441,forcas armadas apreendem 2 milhoes macos cigarros sergipe material apreendido militares contabilizado periciado alem ter sido classificado contrabando confira materia completa defesa,brasil,23272,Positivo,1,1,RO
1942,grupo repressao alfandega receita federal viracopos grep conseguiu alcancar resultados expressivos combate contrabando descaminho trafico entorpecentes segundo semestre 2020 saiba mais #receitafederal #aduana #apreensao,brasil,285,Positivo,1,1,RO
1171,mentira chefona amigona cinthya pazuello socia ministro eduardo pazuello so processo ir so lembrar operacao sauva,brasil,34932,Negativo,0,2,RO
2375,deveria informar receita federal declaracao bens,brasil,1472,Neutro,2,0,RO
2712,portal simples nacional parte emissao que vence dia 20/01 vai ficar ar dia desde semana retrasada ruim semana passada ca caos parou vez podem resolver favor,brasil,531,Negativo,0,0,RO
1715,#areceitafederalnaopara receita federal apreende 670 kg cocaina carga goiabada porto santos somente 2020 alfandega santos interceptou 20 5 toneladas cocaina cargas exportacao destinadas europa saiba mais,brasil,336,Positivo,1,1,RO
1399,3o grupamento logistico presta apoio transporte materiais doados doacoes itens medicoshospitalares equipamentos eletronicos informatica #maoamiga #juntossomosmaisfortes,brasil,18,Positivo,1,1,RO
312,participam bancada #rodaviva bruno paes manso nucleo estudos violencia usp saiba mais,brasil,330,Neutro,2,2,RO
2894,#aceitamaia #forabolsonaroesuaquadrilha #forabolsonarogenicida #forabolonarogenocida #forapazuello #forabolsonaro #impeachmentbolsonarourgente #impeachmentdebolsonarourgente #impeachmentbolsonaroja #impeachmentbolsonaro #renunciabolsonaro #elenaoelenunca,brasil,73,Neutro,2,2,RO
1880,rfb paulo apreendeu mes dezembro diversos tipos drogas outros produtos nocivos saude apreensoes ocorreram recintos importacao exportacao correios saiba mais #receitafederal #aduana #apreensao,brasil,336,Positivo,1,1,RO
1191,nossa deputado falou alem 5 mil reembolso fingem gastar cotas gabinete sonegador nunca pego,brasil,72083,Negativo,0,0,RO
786,receita federal servico essencial parabens,brasil,8,Positivo,1,1,RO
3018,cai malha fina consigo resolver situacao enviei tudo pedem nada faco,brasil,1285,Negativo,0,0,RO
1027,receita federal segue trabalhando simplificar vida cidadao brasileiro estabelecendo parcerias buscando inovacoes tecnologicas,brasil,330083,Positivo,1,1,RO
