Tweet,User - Location,User - Followers,Classificacao,Sentimento
@AncapSupremo @_gafeu @ReceitaFederal Engraçado ver esse bando de moleque discutindo isso. 😀,Toronto - Ontario,228,Neutro,2
@AncapSupremo @_gafeu @ReceitaFederal Nunca desconfiei,,902,Neutro,2
@AncapSupremo @_gafeu @ReceitaFederal Piratas sao legais https://t.co/aQojzs852F,,1415,Neutro,2
"@AncapSupremo @AnarcoNews2 @_gafeu @ReceitaFederal Só é pirataria prós outros, pra ele não.",,42,Neutro,2
"@AncapSupremo @HenridoYT @_gafeu @ReceitaFederal @HenridoYT porra rendo, é óbvio q esse cara é um fake,só pq eu sou o senhor supremo do discord e sou ancap vc acha q alguém com o nick ancapsupremo seria eu? vc é mt boomer msm",,37,Neutro,2
@AncapSupremo @ReceitaFederal nem fudendo,,1532,Neutro,2
"@Ancelmocom Calma, BB. Está com medo da @ReceitaFederal? Se estiver tudo direitinho, sem declarar serviço de datilografia, você fica de boa. Porém continuar vendendo notinha.","Brasília, Brasil",109,Neutro,2
"@andreshalders Pois é. E a @ReceitaFederal se recusa a fornecer qualquer informação mínima, mesmo que em dados genéricos","Oxford, England",12014,Negativo,0
"@andreshalders Pois é. E a @ReceitaFederal se recusa a fornecer qualquer informação mínima, mesmo que em dados genéricos","Oxford, England",12142,Negativo,0
"@andreshalders Pois é. E a @ReceitaFederal se recusa a fornecer qualquer informação mínima, mesmo que em dados genéricos","Oxford, England",12185,Negativo,0
"@angela_romito @BrIndignado @ReceitaFederal Isso.
Mas já era para terem liberado a atualização",,14900,Negativo,0
"@angela_romito @BrIndignado @ReceitaFederal Tudo “aparelhado”, mas com parelhas de burros",,14900,Neutro,2
"@angela_romito @BrIndignado @ReceitaFederal Vou aguardar, porque é rendimento recebido em 21",,14900,Neutro,2
@ApenasDoge @SpiderMenes @ReceitaFederal,,937,Neutro,2
@ApenasDoge @SpiderMenes @ReceitaFederal,,1027,Neutro,2
"@aprovinciadopa Tem como sindicatos fazerem um consórcio e comprarem eles mesmos doses da @PfizerBr pros associados e famílias?

@ReceitaFederal @PT_PR @pstu @bancariospe @appsindicato @eduardomoreira @oatila @WHO @DrTedros @AmigosdoHC @PeqCotolengoPR @mpparana",Everywhere,623,Neutro,2
"@aprovinciadopa Tem como sindicatos fazerem um consórcio e comprarem eles mesmos doses da @PfizerBr pros associados e famílias?

@ReceitaFederal @PT_PR @pstu @bancariospe @appsindicato @eduardomoreira @oatila @WHO @DrTedros @AmigosdoHC @PeqCotolengoPR @mpparana",Everywhere,629,Neutro,2
@arnonco @anarcoadm @ThiagoLibertor @_Ana_2002_ @ReceitaFederal @policiafederal @DanielFragaBR É aniversario do adm??,,1204,Neutro,2
@Arthmes_child @ReceitaFederal Kkkkkk tem que ser rico lembre-se ter bons advogados,,11633,Neutro,2
@Arthmes_child @ReceitaFederal Kkkkkk tem que ser rico lembre-se ter bons advogados,,11632,Neutro,2
@Arthmes_child @ReceitaFederal Tem que ter o dinheiro antes né?,,11633,Neutro,2
@Arturdarocha @MGata00 @J_Souza_Fonte e a @ReceitaFederal dormindo ZzZZZzzzZZZzzz,Brasil 𓇼𓆉 ⧖ ᱬ ⍟⃝    🍂🍁,751,Negativo,0
"@Arturdarocha E o veio da Havan +250 milhões para a @ReceitaFederal.
Se eu não pagar o SIMPLES fecham minhas portas.

BRASIL SIL SIL",Brasil 𓇼𓆉 ⧖ ᱬ ⍟⃝    🍂🍁,751,Negativo,0
"@Ary_AntiPT @policiafederal @ReceitaFederal @MPF_PGR @jairbolsonaro Mal carater É O QUE VCS SÃO.O CARA PERGUNTA SOBRE A ISENÇÃO  DO IR QUE ELE PROMETEU NA CAMPANHA,ELE RESPONDE :O BRASIL TA QUEBRADO ,NÃO POSSO FAZER NADA(SE REFERINDO A ISENÇÃO DO IR)AÍ A CANA LHADA,TIRA  A FRASE DO CONTEXTO E FICAM AÍ,FALANDO M NO JO DE VCS",,183,Negativo,0
"@AssembleiaSP @RoyalNavy @mod_russia @ReceitaFederal @IRS_CI @JusticaGovBR @TVJustica @RadioJustica @MPF_SP @MPF_PGR @MPF_PRR1 @MPF_PA @mpf_prr3 UTC■██:██
■DATA·National.FOIAPortal@usdoj.gov
■If you need assistance with processing a request or if you have any questions regarding the status of a request, you may contact the FOIA Requester Service Center (FRSC) at 202-261-8484.

@StateDept·FOIA https://t.co/GIs32gMnKy","New York, NY",12,Neutro,2
"@avozdobrasil @ReceitaFederal Reforma tributária nada. Mas briguinhas políticas o ano todo , aí sim!",Reino Unido,24,Neutro,2
@awake_giants_br @Bauducco @slpng_giants_pt @ReceitaFederal  alowww crime fiscal,São Paulo ,42,Positivo,1
@awake_giants_br @Bauducco @slpng_giants_pt @ReceitaFederal  alowww crime fiscal,São Paulo ,42,Positivo,1
"@awake_giants_br @catarse @slpng_giants_pt Seria muito mais interessante a @policiafederal @ReceitaFederal @MPF_PGR pedir a lista de doadores com o CPF.
Possivelmente aparecerão doações suspeitas.",,288,Neutro,2
"@awake_giants_br @Sergiorpsp @catarse @slpng_giants_pt Nossa. @catarse apoia censura? 
Está com conta para SLB?

Será que a @policiafederal ou a @ReceitaFederal encontraria algo errado nessas contas, financiamentos?
Será que há compliance? PLD?","São Paulo, Brasil",4003,Neutro,2
"@awake_giants_br @Sergiorpsp @catarse @slpng_giants_pt Nossa. @catarse apoia censura? 
Está com conta para SLB?

Será que a @policiafederal ou a @ReceitaFederal encontraria algo errado nessas contas, financiamentos?
Será que há compliance? PLD?","São Paulo, Brasil",4020,Neutro,2
"@benebarbosa_mvb Eu acho que a @ReceitaFederal deveria investigar. Tenho forte suspeita de houve Sonegação Fiscal na compra desses equipamentos.

ⓘ 𝗧𝗵𝗶𝘀 𝗰𝗹𝗮𝗶𝗺 𝗶𝘀 𝗱𝗶𝘀𝗽𝘂𝘁𝗲𝗱",Ribeirão Preto,61,Neutro,2
@Biakicis @CarlaZambelli38 @jairbolsonaro @JanainaDoBrasil @OtoniDepFederal @RodrigoMaia @SF_Moro @davialcolumbre @GeneralMourao @kimpkat @ReceitaFederal @joicehasselmann @ https://t.co/lbENeL6VGL,Macapá,59,Neutro,2
@Biakicis @CarlaZambelli38 @jairbolsonaro @JanainaDoBrasil @OtoniDepFederal @RodrigoMaia @SF_Moro @davialcolumbre @GeneralMourao @kimpkat @ReceitaFederal @joicehasselmann @ https://t.co/lbENeL6VGL,Macapá,59,Neutro,2
@Blizzard_Ent @TwitchSupport @ReceitaFederal @brunocovas @kimkataguiri1  @boulos,,328,Neutro,2
"@BlogdoNoblat @TwitterSupport @IRS_CI @IMFNews @ReceitaFederal @policiafederal @aramagem @bundeswehrInfo @FBIMostWanted @StateDept @Genproc @PAAttorneyGen GMT+01
GMT-03
■·Srº.s e Srª.s em Trabalho no @Twitter em favor da saudável Liberdade de expressão:
- Os contribuintes e Pedintes na Rep. Federativa do Brasil: Aguardam providências para erradicar o discurso político de ódio, as chantagens e as ameaças da Imprensa contra o @govbr https://t.co/HkswtFtLPs","New York, NY",12,Neutro,2
"@BlogdoNoblat A @ReceitaFederal está aparelhada de militares vagabundos e corruptos. Doidos para implementar uma nova ditadura militar, roubar, estuprar e matar. Militares são anti-vacinas, terraplanistas, lixos ignorastes",Brasil,11,Negativo,0
"@BlogdoNoblat A @ReceitaFederal está aparelhada de militares vagabundos e corruptos. Doidos para implementar uma nova ditadura militar, roubar, estuprar e matar. Militares são anti-vacinas, terraplanistas, lixos ignorastes",Brasil,11,Negativo,0
"@BlogdoNoblat A @ReceitaFederal está aparelhada de militares vagabundos e corruptos. Doidos para implementar uma nova ditadura militar, roubar, estuprar e matar. Militares são anti-vacinas, terraplanistas, lixos ignorastes",Brasil,11,Negativo,0
"@BlogdoNoblat A única coisa que importa é que a @MPF_PGR, a @ReceitaFederal e a #Abin, em atuação altiva e independente, não viram nenhum ilícito até agora.",Papuda,75,Positivo,1
"@BlogdoNoblat A única coisa que importa é que a @MPF_PGR, a @ReceitaFederal e a #Abin, em atuação altiva e independente, não viram nenhum ilícito até agora.",Papuda,74,Positivo,1
"@BlogdoNoblat A única coisa que importa é que a @MPF_PGR, a @ReceitaFederal e a #Abin, em atuação altiva e independente, não viram nenhum ilícito até agora.",Papuda,75,Positivo,1
@BlogdoNoblat VERGONHA @ReceitaFederal !!!,,322,Negativo,0
@BlogdoNoblat VERGONHA @ReceitaFederal !!!,,322,Negativo,0
@BlogdoNoblat VERGONHA @ReceitaFederal !!!,,321,Negativo,0
"@BobjeffHD Eles não aceitam investigação da @ReceitaFederal e à @policiafederal contra eles. Ordenam que parem. Mandam prender aqueles que se expressam contra eles e fazem conchavo pra não serem arrancados de lá pelo Senado, à sua maioria composto por corruptos desse Sistema podre.","Rio de Janeiro, Brasil",884,Negativo,0
@BobVdBerghe_UN @ReceitaFederal @UNODC_WCO_CCP @NLatUN @euunvie @unodcprt @VN_benelux_nl @eu_eeas @EU_Commission @RILO_WE Well done,Cameroon,97,Neutro,2
"@BolsonaroSP @FBI @EDNYnews @IRS_CI @IMFNews @ReceitaFederal @TesouroNacional @USTreasury @INTERPOL_TIGC @policiafederal @IRSnews @MPF_PRRJ @MPF_SP @MPF_PGR @MPF_PRR1 @MPF_PRPR @BancoCentralBR @Citi @AdvocaciaGeral @STJnoticias GMT■
2■DATA:
■·
@CIA📶⏯️📽️📼📸🎞️💾💿📀💽🔊🔽 https://t.co/kPRPjWtguW","New York, NY",12,Neutro,2
"@BolsonaroSP @FBI @EDNYnews @IRS_CI @IMFNews @ReceitaFederal @TesouroNacional @USTreasury @INTERPOL_TIGC @policiafederal @IRSnews GMT+05:00
■DATA:  National.FOIAPortal@usdoj.gov
■The basic function of the Freedom of Information Act is to ensure informed citizens, vital to the functioning of a democratic society. https://t.co/Rl6sU2kkRK","New York, NY",12,Neutro,2
"@brasil247 @neymarjr e seu pai são sonegadores de impostos, e onde a porra da @ReceitaFederal ? Respondo, se reunindo com o FDP do @FlavioBolsonaro",,112,Negativo,0
"@brasil247 @neymarjr e seu pai são sonegadores de impostos, e onde a porra da @ReceitaFederal ? Respondo, se reunindo com o FDP do @FlavioBolsonaro",,113,Negativo,0
"@brasil247 @neymarjr e seu pai são sonegadores de impostos, e onde a porra da @ReceitaFederal ? Respondo, se reunindo com o FDP do @FlavioBolsonaro",,112,Negativo,0
"@brianna_freyja @ReceitaFederal @Banrisul @itau Tem agência do Banrisul que está fechada e nem satisfação para os clientes.
Incluindo o autoatendimento",,355,Negativo,0
"@brianna_freyja @ReceitaFederal @itau Olá. Desculpa por algum desconforto. Qual seria a agência em questão? Me informa em DM, resolveremos isso por lá. 🤝",Rio Grande do Sul,14741,Neutro,2
"@BrIndignado @MendesOnca @ReceitaFederal Como ñ tinha o de 21, fizemos a apuração de dez no de 20 mesmo. Só falta a receita implicar","Parem o mundo, quero descer",250,Negativo,0
@Brunocompreparo @clebersonESC @macaraciba @ReceitaFederal ces são burro ou oq?,@vitor.doprat,196,Negativo,0
@Brunocompreparo @clebersonESC @macaraciba @ReceitaFederal ces são burro ou oq?,@vitor.doprat,204,Negativo,0
"@Brunocompreparo @clebersonESC @otrouxadovitor @ReceitaFederal O cara n conhece direito natural e fala umas merda dessa. 
E outra, qual o problema da prostituição??? O corpo é dela, ela faz o q ela bem entender",,153,Neutro,2
"@Brunocompreparo @clebersonESC @otrouxadovitor @ReceitaFederal O cara n conhece direito natural e fala umas merda dessa. 
E outra, qual o problema da prostituição??? O corpo é dela, ela faz o q ela bem entender",,153,Neutro,2
@Brunocompreparo @macaraciba @otrouxadovitor @ReceitaFederal Tá aí. A gente discutindo com criminoso que possívelmente relativiza escravidão,"Santo Amaro, São Paulo",299,Neutro,2
@Brunocompreparo @macaraciba @otrouxadovitor @ReceitaFederal Tá aí. A gente discutindo com criminoso que possívelmente relativiza escravidão,"Santo Amaro, São Paulo",299,Neutro,2
"@brunogianoto @leonnardologia @ReceitaFederal @ReceitaFederal  É bom dar uma checada na declaração de rendimentos. Dá uma boa mordida do Leão esses alugueis de temporada contribuindo para o bem comum. 'todos os anos' Podem fazer uma verificação dos ultimos 5 anos, certo!? https://t.co/65NFPcOkUK",Brasil,248,Positivo,1
"@brunogianoto @leonnardologia @ReceitaFederal @ReceitaFederal  É bom dar uma checada na declaração de rendimentos. Dá uma boa mordida do Leão esses alugueis de temporada contribuindo para o bem comum. 'todos os anos' Podem fazer uma verificação dos ultimos 5 anos, certo!? https://t.co/65NFPcOkUK",Brasil,254,Positivo,1
"@brunogianoto @leonnardologia @ReceitaFederal Qualquer contrato de temporada existe a clausula de USO DO IMOVEL, e nenhum proprietario é bobo de deixar exceder a capacidade. Tadinha, 'ela não sabia' e aluga 'todo ano'! https://t.co/FKvW6S8i7l",Brasil,248,Neutro,2
"@brunogianoto @leonnardologia @ReceitaFederal Qualquer contrato de temporada existe a clausula de USO DO IMOVEL, e nenhum proprietario é bobo de deixar exceder a capacidade. Tadinha, 'ela não sabia' e aluga 'todo ano'! https://t.co/FKvW6S8i7l",Brasil,254,Neutro,2
"@brunogianoto @leonnardologia @ReceitaFederal Tadinha, além de não saber, ela não tem dinheiro para contratar uma assessoria. Estamos em prantos!",Brasil,248,Neutro,2
"@brunogianoto @leonnardologia @ReceitaFederal Tadinha, além de não saber, ela não tem dinheiro para contratar uma assessoria. Estamos em prantos!",Brasil,254,Neutro,2
"@brunogianoto @leonnardologia E ela JURA que nao sabe que aluguel de temporada para casas de veraneio em final de ano, na época de festas é para FESTAS. Nem pensou em colocar uma clausula no contrato de locacao por temporada. @ReceitaFederal  seria bom checar as declaracoes de anos anteriores, aluga sempre!",Brasil,248,Positivo,1
"@brunogianoto @leonnardologia E ela JURA que nao sabe que aluguel de temporada para casas de veraneio em final de ano, na época de festas é para FESTAS. Nem pensou em colocar uma clausula no contrato de locacao por temporada. @ReceitaFederal  seria bom checar as declaracoes de anos anteriores, aluga sempre!",Brasil,254,Positivo,1
"@CarlosBolsonaro @policiafederal @ReceitaFederal @pmdfoficial @alexandre @STJnoticias @BancoCentralBR @FBIMostWanted @IRS_CI @CmdoCMP @aramagem @RodrigoMaia @davialcolumbre @acmneto_ @AmbBrasilia @YamadaEmbJapao @embaixadarussa @esperidiaoamin_ @UNPeacekeeping @TheSimpsons ☝️✌️: 
Digo A Verdade pro Srº. Srº🤡Larry Fine!
Se o Srº. Pegou a Fila da @IvankaTrump naquela recepção no Clube do @exercitooficial ???
Se Não Virou ainda vai virar
Se sua madrasta te ama de verdade: Vai por coleira e te adotar como se o Srº. fosse A+🐩
GO WONDER💝MICHELLE https://t.co/TYRICx2Wpi","New York, NY",12,Neutro,2
"@CarlosBolsonaro @policiafederal @ReceitaFederal @pmdfoficial @alexandre @STJnoticias @BancoCentralBR @FBIMostWanted @IRS_CI @CmdoCMP @aramagem @RodrigoMaia @davialcolumbre @acmneto_ @AmbBrasilia @YamadaEmbJapao @embaixadarussa @esperidiaoamin_ @UNPeacekeeping @TheSimpsons ☝️✌️: 
Digo A Verdade pro Srº. Srº🤡Larry Fine!
Se o Srº. Pegou a Fila da @IvankaTrump naquela recepção no Clube do @exercitooficial ???
Se Não Virou ainda vai virar
Se sua madrasta te ama de verdade: Vai por coleira e te adotar como se o Srº. fosse A+🐩
GO WONDER💝MICHELLE https://t.co/TYRICx2Wpi","New York, NY",12,Neutro,2
"@CarlosBolsonaro @policiafederal @ReceitaFederal @pmdfoficial @alexandre @STJnoticias @BancoCentralBR @FBIMostWanted @IRS_CI @CmdoCMP @aramagem @RodrigoMaia @davialcolumbre @acmneto_ @AmbBrasilia @YamadaEmbJapao @embaixadarussa @esperidiaoamin_ @UNPeacekeeping @TheSimpsons ☝️✌️: 
Digo A Verdade pro Srº. Srº🤡Larry Fine!
Se o Srº. Pegou a Fila da @IvankaTrump naquela recepção no Clube do @exercitooficial ???
Se Não Virou ainda vai virar
Se sua madrasta te ama de verdade: Vai por coleira e te adotar como se o Srº. fosse A+🐩
GO WONDER💝MICHELLE https://t.co/TYRICx2Wpi","New York, NY",12,Neutro,2
"@CarlosBolsonaro @policiafederal @ReceitaFederal @pmdfoficial @alexandre @STJnoticias @BancoCentralBR @FBIMostWanted @IRS_CI @CmdoCMP @aramagem ✌️:
Às vezes cogito que o Srº., SrºLarry Fine está a usar seu excreto do lado errado
Igual seu mano Curly Howard: Essa preocúpação com quem trabalha de 4, Oh Menina!
Esse carinho com🐕
Deixa dúvida se o Srº. Srº.Larry Fine igualeleslá🇺🇸:
morde fronha debaixo do Arco de Íris🌈 https://t.co/T1NJjOBxQm","New York, NY",12,Neutro,2
